m	mean_eff	sd_bot_eff	sd_top_eff	mean_random	sd_bot_random	sd_top_random	mean_large	sd_bot_large	sd_top_large	mean_leverage	sd_bot_leverage	sd_top_leverage	mean_sum	sd_bot_sum	sd_top_sum	mean_true_displace	sd_bot_true_displace	sd_top_true_displace	
5.200000000000000e+01	4.095581526668507e-01	3.826641262945693e-01	4.364378559255119e-01	2.520994149529234e-01	1.167337510189771e-01	3.874649858510644e-01	7.211852800401906e-01	6.598197461874459e-01	7.825496545054527e-01	8.315602860239344e-01	7.304246306716159e-01	9.327248255885402e-01	5.563467962904148e-01	5.236352345392378e-01	5.890261542819704e-01	3.795298231974138e-02	1.783142812144645e-02	5.806012139256140e-02	
5.300000000000000e+01	4.119620708412555e-01	3.859830721028746e-01	4.379694321583198e-01	2.513027755399398e-01	1.184186605576513e-01	3.841257917396531e-01	7.194462627726390e-01	6.601021165611324e-01	7.787918404363422e-01	8.269828410499392e-01	7.296647340013798e-01	9.243278695451721e-01	5.554692516192828e-01	5.227835995001431e-01	5.881185100309843e-01	3.756884699483225e-02	1.756120540929978e-02	5.756553502389533e-02	
5.400000000000000e+01	4.121405397713614e-01	3.849414650272577e-01	4.393341956979225e-01	2.450867363793504e-01	1.117900203553668e-01	3.784049028707590e-01	7.205618628964229e-01	6.605506671837582e-01	7.805433491932999e-01	8.265355101415182e-01	7.302069206519841e-01	9.228961229481849e-01	5.541775852634461e-01	5.210899147877072e-01	5.872510254463138e-01	3.846020502047755e-02	1.814659243980949e-02	5.877136327993254e-02	
5.500000000000000e+01	4.081765464465308e-01	3.813868733305321e-01	4.349562608925179e-01	2.446627655588399e-01	1.124671221029981e-01	3.768914205309358e-01	7.176342233241502e-01	6.596661407553934e-01	7.756063629979595e-01	8.223168979108395e-01	7.295537137880378e-01	9.151125896401271e-01	5.536137957334422e-01	5.207098735623703e-01	5.865178649296539e-01	3.814162298057849e-02	1.774673560625999e-02	5.852637575713397e-02	
5.600000000000000e+01	4.104083206813017e-01	3.834074715132884e-01	4.374525966797198e-01	2.405989318062834e-01	1.121064562573734e-01	3.691000781889586e-01	7.191068713925489e-01	6.615036812454356e-01	7.767355572273588e-01	8.214814446806989e-01	7.319947185496172e-01	9.110311307634661e-01	5.526726462969876e-01	5.196877209583762e-01	5.856516404329954e-01	3.821231811023166e-02	1.789756436467906e-02	5.852777419483834e-02	
5.700000000000000e+01	4.059519109379042e-01	3.796329126839820e-01	4.322676084823796e-01	2.392946670103255e-01	1.115643000594818e-01	3.669988885499937e-01	7.158117385872389e-01	6.593944672172029e-01	7.722158192194816e-01	8.173101726683211e-01	7.291579900611510e-01	9.053962223754173e-01	5.512210335143023e-01	5.191069132610709e-01	5.833386154876505e-01	3.820862622874845e-02	1.791224898727264e-02	5.850131464551508e-02	
5.800000000000000e+01	4.022687135498805e-01	3.757640572216149e-01	4.287381757230177e-01	2.387844737354524e-01	1.121416979542180e-01	3.654448063866318e-01	7.174484796248797e-01	6.616112086197249e-01	7.732719154116928e-01	8.141889173667575e-01	7.303592782505508e-01	8.980280511781400e-01	5.504288567664959e-01	5.186250961989854e-01	5.822120992925831e-01	3.767670490320769e-02	1.743129746690384e-02	5.790607875711305e-02	
5.900000000000000e+01	3.987331235425106e-01	3.724164776772426e-01	4.250533824531689e-01	2.351239652497879e-01	1.096779541374151e-01	3.605277218946490e-01	7.155457164159438e-01	6.608333663303139e-01	7.703118762444350e-01	8.109685789053714e-01	7.276225141047558e-01	8.942231257625489e-01	5.497046392537152e-01	5.180070722676143e-01	5.813953700450631e-01	3.818865029207811e-02	1.802935446632438e-02	5.834715191204242e-02	
6.000000000000000e+01	4.009895374311439e-01	3.744737886388942e-01	4.275066094807112e-01	2.317579070276002e-01	1.079744337885478e-01	3.554887560268786e-01	7.163277142550112e-01	6.613481673602221e-01	7.712603853909878e-01	8.072062838917988e-01	7.275639595190936e-01	8.868538251379492e-01	5.480512472513090e-01	5.165033575736449e-01	5.796106210150134e-01	3.802034867175681e-02	1.781969771530781e-02	5.822780587365216e-02	
6.100000000000000e+01	4.006682840476609e-01	3.741829711301410e-01	4.271446512668739e-01	2.299461109958957e-01	1.076346049639087e-01	3.521529668383752e-01	7.125991232598443e-01	6.579135090382533e-01	7.672829039045002e-01	8.027912447256587e-01	7.248919767642176e-01	8.807145093255563e-01	5.471109733285653e-01	5.154780800864704e-01	5.787432814354712e-01	3.816269393227571e-02	1.773273910949717e-02	5.856604707150964e-02	
